Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Search product from header,440,0,140,462.546633372205,94.1712079802528,7981.8992500077,489702.0,7.387563702390604,0.0,140,170,190,210,270,650,7100,7200,8000,8000,8000
,Aggregated,440,0,140,462.546633372205,94.1712079802528,7981.8992500077,489702.0,7.387563702390604,0.0,140,170,190,210,270,650,7100,7200,8000,8000,8000
